"통계분류(1)",통계분류(2),1997,1997,1997,1997,1997,1997,1997,1997,1997,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2003,2003,2003,2003,2003,2003,2003,2003,2003,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2008,2008,2008,2008,2008,2008,2008,2008,2008,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2012,2012
"통계분류(1)",통계분류(2),사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,볼거리가 다양해야 한다,지나친 상업성 벗어나야 한다,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타
"연령",60대 이상,42,100,23.8,11.9,9.5,4.8,14.3,35.7,0,34,100,20.6,23.5,14.7,8.8,17.6,8.8,5.9,0,42,100,35.7,4.8,9.5,16.7,0,33.3,0,185,100,23.2,18.4,10.8,8.6,5.4,33,0,0.5,327,100,21.1,12.2,11.6,9.2,5.2,0.3,40.4,429,100,25.7,15.2,7.8,14,6.1,29.7,0.1,1.3,-,-,-,-,-,-,-,-
"연령",60대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,30.1,13.1,10.6,11.7,8.1,26.5,0
"연령",70대이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,25,21,7.9,9.2,7.7,29.3,0
"권역",수도권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1194,23.9,15.8,9.8,11.1,7.4,31.4,0.5
"권역",강원 제주권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142,29.5,18.6,10.7,3.3,5,31.8,1.1
"권역",충청권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,402,21,24,12.7,5.2,4.2,32.2,0.6
"권역",호남권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,355,26.4,28.2,10.4,5.7,1.1,28.2,0
"권역",대경권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,209,14.4,7.9,7.9,4.3,4.8,60.7,0
"권역",동남권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,434,43.9,17.1,9.7,7.4,1.1,20.8,0
"도시규모1",대도시,225,100,18.7,13.3,9.8,6.2,18.2,32.4,1.3,247,100,16.2,12.1,13.4,5.3,9.7,41.7,1.2,0.4,312,100,27.2,11.5,11.2,8.7,6.7,34.6,0,534,100,18.4,17.8,12.7,7.9,5.1,37.6,0,0.6,741,100,20.6,14.6,10.4,6.7,3.5,0.1,44,1030,100,18.9,13.9,12.5,11.6,4.7,37,0.6,0.9,1148,26.2,19.7,10.2,10.1,5.4,27.9,0.4
"도시규모1",중소도시,191,100,22,11,12,5.8,18.3,30.9,0,281,100,24.6,8.9,11,8.9,5.3,38.8,1.8,0.7,376,100,25.5,13.3,12.2,8.2,8.8,31.6,0.3,551,100,20,19.2,12,8.2,4,36.5,0.2,0,963,100,19.1,14.1,11.4,8.6,4,0.1,42.6,1221,100,24.3,14.3,10.6,7.6,6.1,36.6,0.1,0.5,1096,25.4,15.3,10,7.2,4.4,37.2,0.5
"도시규모1",군지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119,100,25.2,12.6,10.9,11.8,2.5,36.1,0.8,205,100,22.4,20.5,5.4,4.4,8.3,37.1,1,1,243,100,20.2,11.5,18.1,7,4.1,0,39.1,286,100,26,14,8.3,10.7,9.9,29.5,0.3,1.3,-,-,-,-,-,-,-,-
"도시규모2",구지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1030,100,18.9,13.9,12.5,11.6,4.7,37,0.6,0.9,-,-,-,-,-,-,-,-
"도시규모2",동지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,987,100,25.6,12.1,10.2,7.4,6,38.2,0.1,0.4,-,-,-,-,-,-,-,-
"도시규모2",읍면지역,155,100,20.6,10.3,9,5.2,17.4,37.4,0,111,100,27,9.9,13.5,5.4,10.8,33.3,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,520,100,22.8,18.2,10,9.7,8.4,29.7,0.2,1.1,490,29.8,22.1,10.8,4.9,4.2,28.2,0
"학력",초졸 이하,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185,24,17.4,9.8,9.9,7.7,31.3,0
"학력",중졸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275,27.2,18.2,12.2,6.5,5.7,29.7,0.5
"학력",중졸이하,96,100,20.8,11.5,14.6,8.3,20.8,24,0,111,100,27,12.6,9,9.9,9,30.6,1.8,0,168,100,25,14.3,13.1,11.9,6,29.2,0.6,283,100,18.7,15.9,12.4,7.4,7.8,36.4,0.4,1.1,432,100,17.8,13,13.7,9.5,4.9,0.2,41,529,100,24.6,16.7,10.3,10.9,5.6,30.9,0,1,-,-,-,-,-,-,-,-
"학력",고졸,261,100,21.1,13,9.6,5.7,18.4,31.8,0.4,304,100,22,10.5,15.1,6.3,6.6,38.5,0.3,0.7,332,100,22.9,13.6,10.8,7.5,8.1,37,0,535,100,18.3,18.1,11.8,7.3,5.4,38.7,0.2,0.2,750,100,20.4,13.6,10.9,8.5,3.7,0,42.8,1033,100,21.5,15,10.2,11.2,5.5,35.6,0.3,0.7,1038,26.7,16.7,11.8,8.1,4.3,31.8,0.6
"학력",대재이상,214,100,19.2,10.3,9.3,4.7,16.4,39.3,0.9,224,100,18.8,8.9,10.3,6.3,9.4,43.8,2.2,0.4,307,100,30.3,10.4,11.7,8.8,6.5,31.9,0.3,472,100,21.8,21.4,10,7.6,3.2,35.6,0.2,0.2,765,100,20.4,14.9,11.8,5.9,3.4,0.1,43.5,975,100,21.8,11.6,12.5,7.2,6.5,39.1,0.6,0.7,1238,26.6,19.9,8.5,8,4.6,32.1,0.2
"종사상지위",임금근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,889,26.5,19,9.1,7.8,3,34.4,0.2
"종사상지위",자영업자(고용주),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145,18.4,20.1,14.9,9.6,5.5,31.5,0
"종사상지위",자영업자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,425,24.8,15.1,12.7,7.1,4.5,35.1,0.6
"종사상지위",무급가족종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,23.3,19.2,9.6,8.5,8.3,31,0
