"통계분류(1)",통계분류(2),2014,2014,2016,2016,2016,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"통계분류(1)",통계분류(2),관람 경험 있음,관람 경험 없음,표본수,관람 경험 있음,관람 경험 없음,표본수,관람 경험 있음,관람 경험 없음,표본수,관람 경험 있음,관람 경험 없음,표본수,관람 경험 있음,관람 경험 없음,표본수,관람 경험 있음,관람 경험 없음
"가구소득별",600만원 이상,57.2,42.8,867,57.5,42.5,1024,63.8,36.2,1193,64.3,35.7,739,35.2,64.8,1494,6.3,93.7
"가구소득별",무응답,5.6,94.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지역규모별",대도시,52.4,47.6,4652,50.7,49.3,4551,60.8,39.2,4345,56.7,43.3,4364,32.3,67.7,4328,5.3,94.7
"지역규모별",중소도시,54.8,45.2,3656,61,39,3455,57.6,42.4,3336,54.7,45.3,3787,33.6,66.4,3449,5.9,94.1
"지역규모별",읍면지역,60.8,39.2,2408,67.3,32.7,2552,63.2,36.8,2421,63.3,36.7,1948,36.7,63.3,2283,5.8,94.2
"권역별",수도권,49,51,3343,53.9,46.1,3206,58.9,41.1,3247,51.4,48.6,4889,30.9,69.1,3135,5.4,94.6
"권역별",강원/제주권,61.8,38.2,756,67.1,32.9,783,67.2,32.8,740,62.4,37.6,435,29,71,778,10.1,89.9
"권역별",충청/세종권,66.6,33.4,1772,75.8,24.2,1768,78.7,21.3,1655,64.6,35.4,1130,38,62,1706,6,94
"권역별",호남권,52.3,47.7,1608,60.3,39.7,1584,66.5,33.5,1450,72.4,27.6,1030,47.8,52.2,1474,7.8,92.2
"권역별",대경권,55.2,44.8,1314,42.2,57.8,1307,47.7,52.3,1891,58.3,41.7,1707,33.7,66.3,1884,5.2,94.8
"권역별",동남권,64.3,35.7,1923,62.6,37.4,1910,52.5,47.5,1119,60.4,39.6,908,29.7,70.3,1083,2.1,97.9
"17개 시도별",서울,48.8,51.2,1263,46.8,53.2,1227,61.4,38.6,1208,56.8,43.2,1928,33.6,66.4,1197,6.2,93.8
"17개 시도별",부산,60.1,39.9,762,53.4,46.6,759,53,47,707,60.1,39.9,686,31.8,68.2,691,2.2,97.8
"17개 시도별",대구,49.3,50.7,638,32,68,636,42.2,57.8,621,53.1,46.9,491,25,75,579,3.9,96.1
"17개 시도별",인천,46.7,53.3,687,58.8,41.2,646,73.4,26.6,651,47.4,52.6,549,22.1,77.9,621,1.7,98.3
"17개 시도별",광주,57.2,42.8,502,56.2,43.8,480,68.3,31.7,465,65.4,34.6,293,49,51,451,14.6,85.4
"17개 시도별",대전,63.8,36.2,502,69.8,30.2,490,78.4,21.6,464,67,33,303,36.1,63.9,460,6.3,93.7
"17개 시도별",울산,59.7,40.3,425,72.9,27.1,421,56.9,43.1,412,61.5,38.5,222,23.5,76.5,392,2,98
"17개 시도별",세종,68.1,31.9,176,64.8,35.2,191,68.3,31.7,206,76.2,23.8,62,47.4,52.6,201,7.6,92.4
"17개 시도별",경기,49.8,50.2,1393,58.5,41.5,1333,53.6,46.4,1388,48.3,51.7,2412,30.8,69.2,1317,5.7,94.3
"17개 시도별",강원,61.8,38.2,460,67.6,32.4,482,66.5,33.5,443,66.3,33.7,314,29.1,70.9,477,13.7,86.3
"17개 시도별",충북,65.9,34.1,509,76,24,501,74.1,25.9,469,56.4,43.6,329,26.4,73.6,487,5,95
"17개 시도별",충남,69.1,30.9,585,81.2,18.8,586,83.8,16.2,516,67.5,32.5,436,46.7,53.3,558,6.3,93.7
"17개 시도별",전북,45.6,54.4,558,60.7,39.3,561,62.7,37.3,475,74.9,25.1,376,50.2,49.8,514,4.3,95.7
"17개 시도별",전남,55.1,44.9,548,63.4,36.6,543,68.9,31.1,510,75.5,24.5,361,44.3,55.7,509,5.6,94.4
"17개 시도별",경북,60.6,39.4,676,51.5,48.5,671,52.7,47.3,606,50.8,49.2,549,26.7,73.3,621,6.2,93.8
"17개 시도별",경남,70.7,29.3,736,68.9,31.1,730,50.3,49.7,664,68.1,31.9,667,45.9,54.1,684,5.3,94.7
"17개 시도별",제주,61.7,38.3,296,65.8,34.2,301,69,31,297,53.1,46.9,121,28.6,71.4,301,1.8,98.2
"장애여부별",해당사항없음,-,-,-,-,-,10238,60.1,39.9,9869,57.5,42.5,9565,33.7,66.3,9726,5.6,94.4
"장애여부별",미등록,-,-,-,-,-,209,55.9,44.1,67,53,47,324,34.6,65.4,116,10,90
"장애여부별",장애등록,-,-,-,-,-,111,52.9,47.1,136,44.6,55.4,210,26.3,73.7,218,3.4,96.6
"장애여부별",무응답,-,-,-,-,-,-,-,-,30,29.2,70.8,-,-,-,-,-,-
