"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"통계분류(1)",통계분류(2),표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,불만족,다소불만족,보통,다소만족,만족,매우만족,평균,표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균
"학력별",고졸,2417,0.3,1.6,3.3,23,34.4,33,4.2,5.06,2581,0.1,0.5,2,14.5,43,35.6,4.2,5.24,2645,0,0.3,1.9,17.9,42.5,30.8,6.7,5.22,2280,0,0.4,1.7,17.2,37.8,37.2,5.7,5.27,1353,0.1,2.1,15.7,43.7,34.5,3.8,5.22,210,0.8,0.5,0.5,24.1,36.9,22.5,14.8,5.22
"학력별",대졸이상,1944,0.5,1.5,3.3,22.5,30.5,38.3,3.5,5.1,2261,0.1,0.7,2.2,13.6,43.1,35,5.3,5.25,2459,0.1,0.3,2.4,18,36.6,36.5,6.2,5.25,2499,0.1,0.7,2.3,17.1,36.5,36.1,7.2,5.27,1411,0.7,2.4,17.1,43.9,30.9,5,5.17,263,0.2,0.8,1.9,19.7,34,30.8,12.5,5.29
"동거가구원수별",1인,498,0.9,0.9,1.8,16.4,36.3,39.1,4.5,5.22,536,-,0.9,3.6,16.2,37.8,36.6,5,5.2,1279,0.1,0.1,2.3,14.3,45.1,32.5,5.7,5.24,884,0,0.3,0.9,16.1,39,35.7,8,5.33,482,0.2,2,14.3,44.3,34,5.3,5.26,96,0.6,-,3.6,23.3,34.2,21.4,16.9,5.22
"동거가구원수별",2인,1169,0.2,0.8,2.4,21.8,31.2,39.1,4.4,5.18,1529,0.1,0.3,1.5,15.1,39.8,38.2,4.9,5.29,1450,0.1,0.5,1.9,19.3,37.4,33.6,7.2,5.23,1589,0.1,0.4,2,15.7,35.9,37.4,8.5,5.33,975,0.2,1.7,14.2,43.1,35.4,5.3,5.28,164,-,0.9,2.1,23.6,36.4,25.9,11,5.17
"동거가구원수별",3인이상,0,-,-,-,-,-,-,-,-,4250,0.1,0.5,2.1,13.6,43.6,35.3,4.9,5.25,3764,0,0.2,2.3,18.3,39.2,33.5,6.4,5.23,3444,0,0.6,1.9,16.7,37.9,36.3,6.6,5.27,1912,0.4,2.3,16.5,45,31.6,4.2,5.18,310,0.6,0.4,-,19.6,34.2,28.5,16.7,5.39
"동거가구원수별",3인,1095,0.4,1.7,2.9,23.7,30.9,36.5,4,5.09,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",4인,2444,0.4,1.3,3.1,21.1,35.4,34.7,3.9,5.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",5인 이상,399,0.7,2.5,6.5,22.1,24.3,36.5,7.4,5.06,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"혼인상태별",미혼,1433,0.6,1.6,2.7,17.1,37,37.3,3.8,5.15,1565,0.1,0.6,2.3,13.1,45.7,34.2,3.8,5.22,1725,0.1,0.3,2.4,17.8,39.8,32.3,7.4,5.23,1573,0,0.5,1.2,15.8,40.9,33.9,7.6,5.29,875,0.4,3.2,16.8,43.4,32.9,3.4,5.15,143,-,0.6,1.9,23.2,34.2,23.5,16.6,5.28
"혼인상태별",기혼,3757,0.3,1.3,3.2,24,31,35.9,4.2,5.08,4284,0.1,0.4,1.9,14.1,42,36.4,5.1,5.27,4003,0,0.3,2,18.6,39,34.2,5.9,5.22,3790,0.1,0.5,2.2,16.6,36.4,37.4,6.9,5.28,2186,0.4,1.8,15.7,44.7,32.7,4.7,5.22,361,0.5,0.6,0.3,20.9,36.1,28.9,12.7,5.29
"혼인상태별",사별/이혼/기타,415,0.3,0.8,3.2,15.6,35.5,36.5,8.2,5.28,466,-,1.1,2.1,15.9,37.8,36.4,6.6,5.26,765,-,-,3.6,15.5,42.1,30.2,8.6,5.25,554,0,0.7,0.9,16.7,35.7,37.4,8.5,5.34,308,0,1.2,14.3,45.6,32.5,6.4,5.28,66,0.8,-,3.7,18.5,29.6,22.4,25.1,5.43
"가구주여부별",가구주,2331,0.6,1.5,3.3,21.9,31.5,36.7,4.4,5.1,2714,0.1,0.7,1.7,14.9,42.2,34.7,5.8,5.26,3353,0,0.2,2.7,18.5,39.1,34.1,5.3,5.2,2766,0,0.6,2,16.9,37.2,36.7,6.7,5.27,1611,0.3,2.1,15.9,44.9,31.9,5,5.21,284,0.5,0.5,2.3,22.7,34.5,26.4,13.1,5.22
"가구주여부별",가구주 아님,3274,0.3,1.3,2.9,21.1,34.1,36.1,4.2,5.13,3601,0.1,0.4,2.2,13.3,43.1,36.6,4.3,5.26,3140,0.1,0.3,1.9,17.8,39.7,32.8,7.5,5.25,3151,0,0.5,1.8,16,37.7,36.4,7.6,5.3,1758,0.4,2.1,15.8,44.2,33.4,4.2,5.21,286,0.3,0.5,-,19.9,35.2,27.1,17,5.38
"종사자지위별",임금.봉급 근로자,2295,0.6,1.4,3.5,22,33.3,35.7,3.4,5.07,2797,0.1,0.6,2.2,14.9,42.4,34.9,4.8,5.23,3137,0.1,0.3,2.6,19.1,40.2,31.7,5.9,5.18,2355,0.1,0.5,2.1,15.6,38.7,36.4,6.5,5.28,1397,0.1,2.3,17.1,44.6,31.2,4.7,5.19,248,-,0.6,1.2,20.1,36.8,26.4,14.9,5.32
"종사자지위별",고용원을 둔 사업자,128,-,0.4,3,27.4,24.5,37.3,7.3,5.17,146,-,1.6,1.8,14.6,47.4,30.9,3.6,5.15,171,0.2,-,2.5,15,31.6,39.5,11.3,5.41,172,0,0.7,0.7,22,33.7,35.6,7.3,5.25,115,1.7,5.2,12.9,47.6,29,3.6,5.08,18,5.4,-,-,17.9,42,29.6,5.2,5.01
"종사자지위별",고용원이 없는 자영자,879,0.4,1.3,3,27.3,27.1,36.8,4.1,5.06,895,0.1,0.5,1.5,14.9,39.2,37.7,6,5.3,1080,-,0.4,1.9,16.5,38.4,37.2,5.6,5.27,1126,0,0.4,2.7,18.3,37.5,36.3,4.8,5.21,596,0.4,1.7,15.9,45.4,33.1,3.6,5.2,102,0.5,1.6,2.8,27.7,41.9,21.1,4.3,4.9
"종사자지위별",무급가족종사자,127,-,3.7,3.4,21.6,21.4,45,5,5.15,159,0.3,0.3,4.3,15.6,32.6,38.7,8.3,5.29,100,-,1.6,2.4,19.3,29.3,43.4,4,5.23,158,0,0.4,0.7,13.5,36.8,41.6,7,5.39,83,1,1.5,8,53.7,33.3,2.6,5.25,7,-,-,-,-,27.9,54.5,17.7,5.9
"종사자지위별",해당없음(무직),2176,0.2,1.3,2.5,18.4,36,36.4,5.2,5.19,2318,0.1,0.3,1.8,12.2,44.6,36.6,4.4,5.28,2005,0,0.1,1.8,17.7,39.8,33.3,7.3,5.26,2106,0,0.6,1.2,16,36.5,36.5,9.1,5.34,1178,0.5,1.8,15.2,42.9,34.6,5,5.24,195,0.5,-,0.1,20.3,28,29.2,21.9,5.51
"가구소득별",100만원 미만,434,0.3,-,1.8,16.8,32.4,40.2,8.4,5.35,416,-,0.3,1.4,12.5,39.8,39.5,6.4,5.36,434,0.1,-,4.4,13.7,40.3,37.4,4.2,5.23,473,0,0.1,1.6,11.5,35.9,37.8,13,5.49,231,-,0.8,17.2,40.6,35.8,5.7,5.28,56,1.1,-,-,24.4,27.3,23.4,23.8,5.42
